NamaKamera,BrandKamera,JenisSensor,ColorDepth,DynamicRange,LowLightISO,Price,Link
Panasonic Lumix DMC LX3,Panasonic,"1/1.7""",19.6,10.8,94,1100000,https://www.tokopedia.com/cctvgrosir8666/kamera-panasonic-lumix-dmc-lx3?whid=0
Olympus E520,Olympus,"4/3""",21.4,10.4,548,1800000,https://www.tokopedia.com/kalandra-official/kamera-olympus-e520-body-only-garansi-resmi-occi
Olympus PEN EPL3,Olympus,"4/3""",20.9,10.3,499,1800000,https://shopee.co.id/Olympus-E-PL3-Body-Garansi-Resmi-OCCI-i.53076929.6850895840
Canon Powershot G10,Canon,"1/1.7""",19,10,156,1990000,https://www.bukalapak.com/p/kamera/kamera-digital/1fyskj-jual-canon-powershot-g11
Pentax K-30,Pentax,APS-C,23.7,13,1129,7100000,https://shopee.co.id/Pentax-K-30-18-55mm-Crystal-White-i.51541893.2566253241
Panasonic Lumix DMC LX5,Panasonic,"1/1.7""",19.6,10.8,132,2000000,https://www.tokopedia.com/azzahracameraonline/panasonic-lumix-dmc-lx5?refined=true&whid=0
Nikon D60,Nikon,APS-C,22.5,11.4,562,2500000,https://www.tokopedia.com/tokooffline/nikon-camera-original-kamera-dslr-d60-foto-like-new-mulus-second-bagus
Canon PowerShot SX50 HS,Canon,"1/2.3""",20.3,11.2,179,3100000,https://www.tokopedia.com/s3lla2000/camera-canon-powershot-sx50-hs
Olympus E410,Olympus,"4/3""",21,10,494,2120000,https://www.tokopedia.com/santokelbrus/olympus-e410-plus-2lensa-murah-gan
Olympus XZ1,Olympus,"1/1.7""",18.8,10.4,117,1350000,https://www.tokopedia.com/theothep/olympus-xz-1-special-75-anniversary
Nikon 1 S1,Nikon,"1""",21.4,11.1,397,1899000,https://www.tokopedia.com/jakartadigital8/camera-nikon-1-s1-body-only
Pentax MX-1,Pentax,"1/1.7""",20.4,11.3,208,2800000,https://www.bukalapak.com/p/kamera/kamera-digital/1hfx91-jual-pentax-mx-1-pentax-mx1-fullset-dan-bonus
Fujifilm XF1,Fujifilm,"2/3""",20.5,11.2,199,2250000,https://www.tokopedia.com/digitalsound12/fujifilm-xf1
Canon Powershot S110,Canon,"1/1.7""",20.6,11.2,168,1700000,https://www.tokopedia.com/archive-canon-powershot/canon-powershot-s110
Pentax Q10,Pentax,"1/2.3""",21.1,10.9,183,2750000,https://www.tokopedia.com/kamera2nd/kamera-mirrorless-pentax-q10-kit-5-15mm
Nikon Coolpix P7700,Nikon,"1/1.7""",21.1,11.7,191,4500000,https://www.tokopedia.com/bayuindarwan/nikon-coolpix-p7700-garansi-resmi-alta-nikindo
Olympus PEN EPM1,Olympus,"4/3""",21,10.3,499,9520000,https://www.tokopedia.com/jari-jemari/bl23948-olympus-pen-mini-epm1-kit-1442mm-plus-flml1-resmi-100-dan
Samsung NX 100,Samsung,APS-C,22.6,10.7,563,2500000,https://www.tokopedia.com/bumijaya-1/samsung-nx-100-kit-20-50mm-murahhh
Canon PowerShot G12,Canon,"1/1.7""",20.4,11.2,161,2811000,https://www.tokopedia.com/vitmart/canon-powershot-g12-prosumer-digital-camera-semi-professional
Sony Alpha 290,Sony,APS-C,22.6,11.5,615,2300000,https://www.tokopedia.com/kamerasecondjkt/sony-a290-alpha-290-kit-18-55-sam?whid=0
Canon PowerShot G9 X,Canon,"1""",21.5,12.3,495,6334000,https://www.tokopedia.com/plazakamera/canon-powershot-g9-x-mark-ii-black-kamera-pocket-vlog?whid=0
Nikon 1 J5,Nikon,"1""",22.1,12,479,4050000,https://www.tokopedia.com/djipro/nikon-1-j5-kit-10-30mm-paket-bonus-camera-mirrorless-nikon-1-j-5?whid=0
Canon EOS 1200D,Canon,APS-C,21.9,11.3,724,3300000,https://www.tokopedia.com/lystastore/canon-eos-1200d-kit-18-55mm-canon-1200d-eos-1200d?src=topads
Sony A5000,Sony,APS-C,23.8,13,1089,4250000,https://www.tokopedia.com/lystastore/camera-sony-alpha-a5000-kit-16-50?src=topads
Panasonic LUMIX DMC-LF1,Panasonic,"1/1.7""",20.8,11.6,211,4500000,https://www.bukalapak.com/p/kamera/kamera-digital/5dq3o-jual-panasonic-lumix-dmc-lf1
Sony SLT Alpha 37,Sony,APS-C,23.3,12.9,799,3400000,https://www.tokopedia.com/sakuracamera/sony-a37-kit-18-55mm-ada-slot-ext-mic?refined=true&whid=0
Fujifilm FinePix F600EXR,Fujifilm,"1/2.3""",19.4,10.8,153,1700000,https://www.tokopedia.com/windowsshop99/fujifilm-finepix-f600exr-digital-camera?whid=0
Nikon Coolpix P7000,Nikon,"1/1.7""",19.1,10.8,147,3800000,https://www.tokopedia.com/sumbermajuelektronik/nikon-coolpix-p7000-digital-camera-kamera-lens-6-0-42-6mm?whid=0
Konica Minolta DYNAX 5D,Konica,APS-C,21.3,11.1,605,3500000,https://www.tokopedia.com/harmel/dslr-konica-minolta-dynax-5d-barang-langka-dan-unik?whid=0
Olympus E420,Olympus,"4/3""",21.5,10.4,527,3100000,https://www.tokopedia.com/camera2017/olympus-e420-kit-40-150mm-f4-0-5-6-ed-grs-resmi-occi?whid=0
Olympus SP 570 UZ,Olympus,"1/2.3""",18.4,10,72,1000000,https://www.tokopedia.com/indra8498/kamera-olympus-sp570uz-hitam
Canon EOS 400D,Canon,APS-C,22.1,11,664,1600000,https://www.tokopedia.com/vamesphoto/canon-eos-400d-dan-lensa-18-55mm?whid=0
Canon Powershot G11,Canon,"1/1.7""",20.4,11.1,169,2100000,https://www.tokopedia.com/daruruna/preloved-canon-powershot-g11-digital-camera-plus-filter?whid=0
Canon PowerShot G9 X Mark II,Canon,"1""",21.9,12.5,522,6300000,https://www.tokopedia.com/camworld/canon-powershot-g9-x-mark-ii-canon-g9-x-ii?whid=0
Canon EOS 1000D,Canon,APS-C,22,10.9,719,2400000,https://www.tokopedia.com/cctvgrosir8666/kamera-canon-eos-1000d-kit-18-55mm-cuci-gudang-display-toko?whid=0
Sony NEX-5T,Sony,APS-C,23.6,13,1015,3300000,https://www.tokopedia.com/sakuracamera/sony-nex-5t-wi-fi?refined=true&whid=0
Canon PowerShot G16,Canon,"1/1.7""",21,11.7,230,4299000,https://www.tokopedia.com/miroles/canon-powershot-g16?whid=0
Olympus XZ-2 iHS,Olympus,"1/1.7""",20.4,11.3,216,2850000,https://www.bukalapak.com/p/kamera/kamera-digital/21u1p4-jual-olympus-xz-2-ihs-mulus-komplit-box
Samsung EX2F,Samsung,"1/1.7""",20,11.5,209,1800000,https://www.tokopedia.com/japutra1998/samsung-smart-camera-ex2f?refined=true&whid=0
Canon EOS 2000D,Canon,APS-C,22.6,11.9,1009,4800000,https://www.tokopedia.com/lystastore/canon-eos-2000d-kit-18-55mm?src=topads
Canon EOS 200D,Canon,APS-C,23.6,13.4,1041,6600000,https://www.tokopedia.com/digitalcam88/kamera-canon-eos-200d-kit-18-55-stm?whid=0
Panasonic Lumix DC-GX800,Panasonic,"4/3""",23.2,13.3,586,5050000,https://www.tokopedia.com/benzcamera/panasonic-lumix-gx85-body?src=topads
Canon EOS 1300D,Canon,APS-C,22,11.7,781,4950000,https://www.tokopedia.com/ixuspro/canon-eos-1300d-kit-18-55mm-is-ii-kamera-slr-canon-1300d-kit-is-ii?src=topads
Canon PowerShot SX60 HS,Canon,"1/2.3""",19.2,10.8,127,2750000,https://www.tokopedia.com/grn-01/camera-canon-powershot-sx60-hs-tas-lowepro?whid=0
Sony A5100,Sony,APS-C,23.8,12.7,1347,5950000,https://www.tokopedia.com/igitalpro/sony-alpha-a5100-black-kit-16-50mm-hitam?src=topads
Nikon Coolpix P7800,Nikon,"1/1.7""",21.2,11.7,200,5950000,https://www.tokopedia.com/extremepro999/kamera-nikon-coolpix-p7800-display?whid=0
Sony NEX3,Sony,APS-C,22.1,12,830,2300000,https://www.tokopedia.com/saungcamera/sony-nex-3-nex3-lens-kit-16-50mm-oss?refined=true&whid=0
Pentax KM,Pentax,APS-C,22.4,11.4,513,1500000,https://www.tokopedia.com/paktoko212/slr-asahi-pentax-km-kamera-analog-jadul-vintage?whid=0
Canon EOS 350D,Canon,APS-C,21.8,10.8,637,3000000,https://www.tokopedia.com/barangsekn/kamera-dslr-canon-350d-eos-seken?whid=0
Konica Minolta DYNAX 7D,Konica,APS-C,21.2,11,613,2100000,https://www.bukalapak.com/p/kamera/kamera-digital/7jn8za-jual-kamera-digital-konica-minolta-dynax-7d-bonus-lensa
Panasonic Lumix DMC GF1,Panasonic,"4/3""",21.2,10.3,513,1000000,https://www.tokopedia.com/tunesaudio/panasonic-lumix-dmc-gf1?whid=0
Canon EOS 450D,Canon,APS-C,21.9,10.8,692,2500000,https://www.tokopedia.com/electroshop98/canon-eos-450d-free-memory-dan-tas-kamera-vlog?refined=true&whid=0
Olympus E510,Olympus,"4/3""",21.2,10,442,2000000,https://www.tokopedia.com/veraristore/camera-olympus-e510-bekas?whid=0
Pentax K-50,Pentax,APS-C,23.7,13,1120,2499000,https://www.tokopedia.com/pejalanbdg/dslr-kamera-pentax-k-50-k50-hitam-bnib-resmi-not-nikon-canon-fuji-sony?refined=true&whid=0
Canon Powershot G15,Canon,"1/1.7""",19.9,11.5,165,5750000,https://www.tokopedia.com/extremepro999/kamera-canon-powershot-g15-display?whid=0
Olympus PEN E-PM2,Olympus,"4/3""",22.7,12.2,932,5000000,https://www.tokopedia.com/benaralbatik/olympus-pen-mini-e-pm2-lensa-14-42-dan-lensa-40-150?whid=0
Panasonic Lumix DMC GF5,Panasonic,"4/3""",20.5,10,573,2550000,https://www.tokopedia.com/gudangkamerasby/panasonic-lumix-gf5-g-f5-body-only-mint-condition-1340?whid=0
Panasonic Lumix DMC G3,Panasonic,"4/3""",21,10.6,667,3060000,https://www.tokopedia.com/ageofdream/rda-panasonic-lumix-dmc-g3-mirrorless-m43-micro-fourthirds?whid=0
Canon EOS 1100D,Canon,APS-C,21.9,11,755,3200000,https://www.tokopedia.com/lystastore/canon-eos-1100d-kit-18-55mm-canon-1100d-eos-1100d?whid=0
Olympus PEN EPL2,Olympus,"4/3""",21.4,10.2,573,4000000,https://www.tokopedia.com/archive-rlsdn-219703/camera-olympus-pen-epl2?whid=0
Panasonic Lumix DMC GF2,Panasonic,"4/3""",21.2,10.3,506,4710000,https://www.tokopedia.com/mitrakamera/panasonic-lumix-dmc-gf2-kit-14-42mm-paket?whid=0
Sony SLT Alpha 33,Sony,APS-C,22.8,12.6,591,3100000,https://www.tokopedia.com/sakuracamera/sony-a33-kit-18-55mm-ada-jack-mic?refined=true&whid=0
Panasonic Lumix DMC G2,Panasonic,"4/3""",21.2,10.3,493,3000000,https://www.tokopedia.com/hansvand/panasonic-lumix-dmc-g2-lensa-olympus-14-42mm?whid=0
Olympus PEN EPL1,Olympus,"4/3""",21.5,10.1,487,1400000,https://www.tokopedia.com/kedaikamerasolo/body-kamera-mirrorless-olympus-pen-epl1?whid=0
Canon EOS M100,Canon,APS-C,23.5,12.9,1272,4850000,https://www.tokopedia.com/jakcam/canon-eos-m100-kit-15-45mm-paket-standar?src=topads
Canon EOS M10,Canon,APS-C,22,11.4,753,4199000,https://www.tokopedia.com/republicofphotograph/canon-eos-m10-kit-15-45mm-is-stm-kamera-mirrorless-canon-eos-m10-d-unit-only?src=topads
Olympus PEN E-PL7,Olympus,"4/3""",22.7,12.4,873,4999990,https://www.tokopedia.com/k2watch/olympus-pen-e-pl7-epl7-mirrorless-camera-14-42-mm-silver?whid=0
Panasonic Lumix DMC-GM1,Panasonic,"4/3""",22.3,11.7,660,4672000,https://www.tokopedia.com/accbudaya/panasonic-lumix-gm1-kit-12-32-ois-mulus-bagus-lengkap-murah
Pentax K-500,Pentax,APS-C,23.7,13.1,1087,5250000,https://www.tokopedia.com/haloklik/pentax-k500-k-500-kit-18-55mm-18-55-pentax-ricoh-indonesia?whid=0
